,Unnamed: 0,Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume,Stock
747,747,2015-01-09,112.67,113.25,110.21,112.01,53315099.0,0.0,1.0,107.03697120895,107.58797363463002,104.69996092073,106.4099684487,53315099.0,AAPL
2255,748,2015-01-09,89.81,90.25,88.443,90.22,17501.0,0.0,1.0,88.135348064067,88.567143556197,86.793837978291,88.537702954461,17501.0,COKE
1501,748,2015-01-09,208.92,209.98,204.96,206.66,4580722.0,0.0,1.0,208.92,209.98,204.96,206.66,4580722.0,TSLA
3628,748,2015-01-09,508.18,508.6,498.65,500.72,2065403.0,0.0,1.0,508.18,508.6,498.65,500.72,2065403.0,GOOGL
2874,613,2015-01-09,50.28,50.41,49.62,49.72,7407768.0,0.0,1.0,50.28,50.41,49.62,49.72,7407768.0,YHOO
2873,612,2015-01-12,49.92,49.93,48.56,48.8,10170666.0,0.0,1.0,49.92,49.93,48.56,48.8,10170666.0,YHOO
3627,747,2015-01-12,499.24,500.28,490.91,497.06,2856938.0,0.0,1.0,499.24,500.28,490.91,497.06,2856938.0,GOOGL
746,746,2015-01-12,112.6,112.63,108.8,109.25,49650790.0,0.0,1.0,106.9704709162,106.99897104166,103.36045502382,103.78795690581,49650790.0,AAPL
2254,747,2015-01-12,89.65,90.79,89.53,90.23,9963.0,0.0,1.0,87.978331521474,89.097074387447,87.86056911453001,88.54751648837299,9963.0,COKE
1500,747,2015-01-12,203.05,204.47,199.25,202.21,5950280.0,0.0,1.0,203.05,204.47,199.25,202.21,5950280.0,TSLA
3626,746,2015-01-13,502.57,508.6,497.26,501.8,3050295.0,0.0,1.0,502.57,508.6,497.26,501.8,3050295.0,GOOGL
2872,611,2015-01-13,49.15,49.48,47.4,48.3,21605213.0,0.0,1.0,49.15,49.48,47.4,48.3,21605213.0,YHOO
1499,746,2015-01-13,203.32,207.61,200.911,204.25,4477320.0,0.0,1.0,203.32,207.61,200.911,204.25,4477320.0,TSLA
2253,746,2015-01-13,90.77,91.56,90.0,91.3,12882.0,0.0,1.0,89.07744731962299,89.85271649867501,88.321805208396,89.59756461696199,12882.0,COKE
745,745,2015-01-13,111.43,112.8,108.91,110.22,67091928.0,0.0,1.0,105.85896602302,107.16047175264,103.46495548386,104.70946096255,67091928.0,AAPL
1498,745,2015-01-14,185.83,195.2,185.0,192.69,11551855.0,0.0,1.0,185.83,195.2,185.0,192.69,11551855.0,TSLA
3625,745,2015-01-14,500.42,508.26,498.16,505.93,2639959.0,0.0,1.0,500.42,508.26,498.16,505.93,2639959.0,GOOGL
744,744,2015-01-14,109.04,110.49,108.5,109.8,48956588.0,0.0,1.0,103.58845602755,104.96596209175,103.07545376916,104.31045920603,48956588.0,AAPL
2871,610,2015-01-14,47.7,48.09,47.07,47.51,15911618.0,0.0,1.0,47.7,48.09,47.07,47.51,15911618.0,YHOO
2252,745,2015-01-14,90.35,91.6,89.48,91.6,10215.0,0.0,1.0,88.665278895318,89.891970634323,87.81150144496999,89.891970634323,10215.0,COKE
1497,744,2015-01-15,194.49,195.7499,190.0,191.87,5216524.0,0.0,1.0,194.49,195.7499,190.0,191.87,5216524.0,TSLA
2251,744,2015-01-15,92.3,93.89,90.622,93.86,23410.0,0.0,1.0,90.578918008166,92.139269900181,88.93220701772499,92.109829298445,23410.0,COKE
2870,609,2015-01-15,47.54,47.75,46.2,46.23,17125956.0,0.0,1.0,47.54,47.75,46.2,46.23,17125956.0,YHOO
743,743,2015-01-15,110.0,110.06,106.66,106.82,60013996.0,0.0,1.0,104.50046004247,104.5574602934,101.3274460739,101.47944674306,60013996.0,AAPL
3624,744,2015-01-15,508.89,509.75,502.01,504.01,2556682.0,0.0,1.0,508.89,509.75,502.01,504.01,2556682.0,GOOGL
742,742,2015-01-16,107.03,107.58,105.2,105.99,78513345.0,0.0,1.0,101.67894762132,102.20144992153,99.940439967886,100.69094327183,78513345.0,AAPL
2250,743,2015-01-16,93.41,95.99,92.42,95.99,32961.0,0.0,1.0,91.668220272403,94.20011202171,90.696680415111,94.20011202171,32961.0,COKE
1496,743,2015-01-16,190.7,194.49,189.65,193.07,3603158.0,0.0,1.0,190.7,194.49,189.65,193.07,3603158.0,TSLA
